gweventname	 SNR	SNRerrlo SNRerrhi 0.5Area 0.9Area Distance Disterrlo Disterrhi	f_cover	n_s	
GW190814*	 22.2	nan	 nan	  3	  15	  0.24	   -0.05     0.04	0.712	1	
GW190828_063405	 16.0	nan	 nan	  101	  539	  2.22	   -0.95     0.63	0.461	1609	
GW190828_065509* 11.1	nan	 nan	  145	  655	  1.66	   -0.61     0.63	0.254	1265	
GW190909_114149* 8.5	nan	 nan	  1355	  4613	  4.77	   -2.66     3.70	0.570	79634	
GW190910_112807	 13.4	nan	 nan	  2786	  10120	  1.57	   -0.64     1.07	0.516	35170	
GW190915_235702* 13.1	nan	 nan	  76	  370	  1.70	   -0.64     0.71	0.863	3192	
GW190924_021846* 13.2	nan	 nan	  105	  348	  0.57	   -0.22     0.22	0.895	1088	
GW190929_012149* 9.9	nan	 nan	  524	  2031	  3.68	   -1.68     2.98	0.522	13618	
GW190930_133541* 10.0	nan	 nan	  496	  1723	  0.78	   -0.33     0.37	0.789	2406	
GW190403_051519	 8.0	nan	 nan	  1111	  4250	  8.28	   -4.29     6.72	0.499	132911	
GW190426_190642	 9.6	nan	 nan	  2041	  8031	  4.58	   -2.28     3.40	0.496	145368	
GW190725_174728	 8.8	nan	 nan	  325	  2436	  1.03	   -0.43     0.52	0.684	5403	
GW190805_211137	 8.3	nan	 nan	  660	  3089	  6.13	   -3.08     3.72	0.543	77630	
GW190916_200658	 7.9	nan	 nan	  986	  3573	  4.94	   -2.38     3.71	0.539	116115	
GW190917_114630	 9.5	nan	 nan	  451	  1801	  0.72	   -0.31     0.30	0.419	2876	
GW190925_232845	 9.9	nan	 nan	  112	  955	  0.93	   -0.35     0.46	0.195	2813	
GW190926_050336	 7.8	nan	 nan	  625	  2212	  3.28	   -1.73     3.40	0.461	32379	
GW191103_012549	 8.9    -0.5     0.3	  667	  2171	  0.99     -0.47     0.50	0.616	7377	
GW191105_143521	 9.97   -0.5     0.3	  100	  641	  1.15     -0.48     0.43	0.375	2622	
GW191109_010717	 17.3   -0.5     0.5	  418	  1649	  1.29     -0.65     1.13	0.364	5826	
GW191113_071753	 7.9    -1.1     0.5	  578	  2483	  1.37     -0.62     1.15	0.444	13157	
GW191126_115259	 8.3    -0.5     0.2	  354	  1378	  1.62     -0.74     0.74	0.473	7214	
GW191127_050227	 9.2    -0.6     0.7	  137	  983	  3.4      -1.9      3.1	0.460	15259	
GW191129_134029	 13.1   -0.3     0.2	  208	  856	  0.79     -0.33     0.26	0.409	2387	
