gweventname	dataset	TotalMass M1	M2	ChirpMass	chi_eff	
GW190403_051519	GWTC2.1	111	  85.0	20.0	34.0		0.68	
GW190424_180648	GWTC2	73	  40.5	31.8	31.0		0.13	
GW190514_065416	GWTC2	68	  39.0	28.4	28.5		-0.19	
GW190521	GWTC2	164	  95.3	69.0	69.2		0.03	
GW190731_140936	GWTC2	70.1	  41.5	28.8	29.5		0.06	
GW190803_022701	GWTC2	65	  37.3	27.3	27.3		-0.03	
GW190909_114149	GWTC2	75	  45.8	28.3	30.9		-0.06	
GW200216_220804	GWTC3	81	  51	30	32.9		0.10	
GW200220_124850	GWTC3	67	  28	39	28.2		0.10	

