Table 1 
A Summary of the 83 LIGO/Virgo BBH and Lower-mass-gap Merger Alerts with Associated ZTF AGN Flares


LIGO/Virgo Alert ID	S/N	50% Area	90% Area	Distance	f _cover	n _s	
		(deg^2)	(deg^2)	(Gpc)			
GW190708_232457*	13.1	2325	14420	${0.90}_{-0.40}^{+0.33}$	0.552	43181	
GW190719_215514	8.0	219	874	${4.61}_{-2.17}^{+2.84}$	0.856	31178	
GW190720_000836*	11.7	63	574	${0.81}_{-0.33}^{+0.71}$	0.345	2131	
GW190727_060333	12.3	140	880	${3.60}_{-1.51}^{+1.56}$	0.386	4941	
GW190728_064510*	13.6	62	574	${0.89}_{-0.37}^{+0.25}$	0.257	736	
GW190731_140936	8.5	728	3203	${3.97}_{-2.07}^{+2.56}$	0.269	41160	
GW190803_022701	9.0	364	1497	${3.69}_{-1.69}^{+2.04}$	0.910	16456	
GW190814*	22.2	3	15	${0.24}_{-0.05}^{+0.04}$	0.712	1	
GW190828_063405	16.0	101	539	${2.22}_{-0.95}^{+0.63}$	0.461	1609	
GW190828_065509*	11.1	145	655	${1.66}_{-0.61}^{+0.63}$	0.254	1265	
GW190909_114149*	8.5	1355	4613	${4.77}_{-2.66}^{+3.70}$	0.570	79634	
GW190910_112807	13.4	2786	10120	${1.57}_{-0.64}^{+1.07}$	0.516	35170	
GW190915_235702*	13.1	76	370	${1.70}_{-0.64}^{+0.71}$	0.863	3192	
GW190924_021846*	13.2	105	348	${0.57}_{-0.22}^{+0.22}$	0.895	1088	
GW190929_012149*	9.9	524	2031	${3.68}_{-1.68}^{+2.98}$	0.522	13618	
GW190930_133541*	10.0	496	1723	${0.78}_{-0.33}^{+0.37}$	0.789	2406	
							
GW190403_051529	8.0	1111	4250	${8.28}_{-4.29}^{+6.72}$	0.499	132911	
GW190426_190642	9.6	2041	8031	${4.58}_{-2.28}^{+3.40}$	0.496	145368	
GW190725_174728	8.8	325	2436	${1.03}_{-0.43}^{+0.52}$	0.684	5403	
GW190805_211137	8.3	660	3089	${6.13}_{-3.08}^{+3.72}$	0.543	77630	
GW190916_200658	7.9	986	3573	${4.94}_{-2.38}^{+3.71}$	0.539	116115	
GW190917_114630	9.5	451	1801	${0.72}_{-0.31}^{+0.30}$	0.419	2876	
GW190925_232845	9.9	112	955	${0.93}_{-0.35}^{0.46}$	0.195	2813	
GW190926_050336	7.8	625	2212	${3.28}_{-1.73}^{3.40}$	0.461	32379	
GW191103_012549	${8.9}_{-0.5}^{+0.3}$	667	2171	${0.99}_{-0.47}^{+0.50}$	0.616	7377	
GW191105_143521	${9.97}_{-0.5}^{+0.3}$	100	641	${1.15}_{-0.48}^{+0.43}$	0.375	2622	
GW191109_010717	${17.3}_{-0.5}^{+0.5}$	418	1649	${1.29}_{-0.65}^{+1.13}$	0.364	5826	
GW191113_071753	${7.9}_{-1.1}^{+0.5}$	578	2483	${1.37}_{-0.62}^{+1.15}$	0.444	13157	
GW191126_115259	${8.3}_{-0.5}^{+0.2}$	354	1378	${1.62}_{-0.74}^{+0.74}$	0.473	7214	
GW191127_050227	${9.2}_{-0.6}^{+0.7}$	137	983	${3.4}_{-1.9}^{+3.1}$	0.460	15259	
GW191129_134029	${13.1}_{-0.3}^{+0.2}$	208	856	${0.79}_{-0.33}^{+0.26}$	0.409	2387	
GW191204_110529	${8.8}_{-0.6}^{+0.4}$	922	3675	${1.8}_{-1.1}^{+1.7}$	0.495	39638	
GW191204_171526	${17.5}_{-0.2}^{+0.2}$	79	256	${0.65}_{-0.25}^{+0.19}$	0.286	161	
GW191215_223052	${11.2}_{-0.4}^{+0.3}$	139	586	${1.93}_{-0.86}^{+0.89}$	0.297	2158	
GW191216_213338	${18.6}_{-0.2}^{+0.2}$	61	206	${0.34}_{-0.13}^{+0.12}$	0.592	59	
GW191219_163120	${9.1}_{-0.8}^{+0.5}$			${0.55}_{-0.16}^{+0.25}$	cdots	7120	
GW191222_033537	${12.5}_{-0.3}^{+0.2}$	503	2168	${3.0}_{-1.7}^{+1.7}$	0.451	24418	
GW191230_180458	${10.4}_{-0.4}^{+0.3}$	302	1086	${4.3}_{-1.9}^{+2.1}$	0.187	17057	
GW200105_162426	${13.7}_{-0.4}^{+0.2}$			${0.27}_{-0.11}^{+0.12}$	cdots	596309	
GW200112_155838	${19.8}_{-0.2}^{+0.1}$	550	3200	${1.25}_{-0.46}^{+0.43}$	0.486	8558	
GW200115_042309	${11.3}_{-0.5}^{+0.3}$	56	388	${0.29}_{-0.10}^{+0.15}$	cdots	174	
GW200128_022011	${10.6}_{-0.4}^{+0.3}$	714	2415	${3.4}_{-1.8}^{+2.1}$	0.435	34995	
GW200129_065458	${26.8}_{-0.2}^{+0.2}$	6	31	${0.90}_{-0.38}^{+0.29}$	0.968	41	
GW200202_154313	${10.8}_{-0.4}^{+0.2}$	44	150	${0.41}_{-0.16}^{+0.15}$	0.886	295	
GW200208_130117	${10.8}_{-0.4}^{+0.3}$	9	30	${2.23}_{-0.85}^{+1.00}$	0.000	80	
GW200208_222617	${7.4}_{-1.2}^{+1.4}$	385	2040	${4.1}_{-1.9}^{+4.4}$	0.505	36630	
GW200209_085452	${9.6}_{-0.5}^{+0.4}$	217	877	${3.4}_{-1.8}^{+1.9}$	0.643	15681	
GW200210_092255	${8.4}_{-0.7}^{+0.5}$	290	1388	${0.94}_{-0.34}^{+0.43}$	0.473	5193	
GW200216_220804	${8.1}_{-0.5}^{+0.4}$	727	2924	${3.8}_{-2.0}^{+3.0}$	0.861	64883	
GW200219_094415	${10.7}_{-0.5}^{+0.3}$	88	781	${3.4}_{-1.5}^{+1.7}$	0.392	14993	
GW200220_061928	${7.2}_{-0.7}^{+0.4}$	1065	4477	${6.0}_{-3.1}^{+4.8}$	0.272	75639	
GW200220_124850	${8.5}_{-0.2}^{+0.3}$	855	3129	${4.0}_{-2.2}^{+2.8}$	0.500	65013	
GW200224_222234	${20.0}_{-0.2}^{+0.2}$	11	42	${1.71}_{-0.64}^{+0.49}$	0.000	178	
GW200225_060421	${12.5}_{-0.4}^{+0.3}$	150	498	${1.15}_{-0.53}^{+0.51}$	0.511	1125	
GW200302_015811	${10.8}_{-0.4}^{+0.3}$	1604	6016	${1.48}_{-0.70}^{+1.02}$	0.377	18761	
GW200306_093714	${7.8}_{-0.6}^{+0.4}$	965	3907	${2.1}_{-1.1}^{+1.7}$	0.524	35435	
GW200308_173609	${7.1}_{-0.5}^{+0.5}$	3671	25292	${5.4}_{-2.6}^{+2.7}$	0.400	596309	
GW200311_115853	${17.8}_{-0.2}^{+0.2}$	10	35	${1.17}_{-0.40}^{+0.28}$	0.821	81	
GW200316_215756	${10.3}_{-0.7}^{+0.4}$	12	187	${1.12}_{-0.44}^{+0.47}$	0.726	276	
GW200322_091133	${6.0}_{-1.2}^{+1.7}$	6250	28703	${3.6}_{-2.0}^{+7.0}$	0.475	596309	
Notes. f _cov is the fraction of the LIGO/Virgo 90% confidence area covered by ZTF with at least 15 observations in the 200 days following the LIGO alert. n _s is the number of Million Quasar Catalog (v7.3) sources within the LIGO/Virgo 90% confidence volume. The divisions indicate events from O3a (GWTC 2.0), O3a (GWTC 2.1), and O3b. The NRSur7dq4 waveform is used for O3a detections, except for those marked with an asterisk, where the SEOBNRv4PHM waveform is used. The IMRPhenomXPHM waveform is used for all O3b detections. S/N are the published values and are derived as follows: in O3a, from GstLAL (including Virgo) where possible and PYCBC BBH otherwise; in O3b, from IMRPhenomXPHM; and in GWTC 2.1, from PYCBC BBH where possible and GstLAL otherwise. LIGO/Virgo considers signals with S/N >8 to be confidently real.
